user,item,cnt,daytime,weekday,isweekend,homework,weather,country,city
4,4,2.4183012913197452,3,7,15,16,25,92,126
56,43,2.5118833609788744,3,10,14,17,19,69,220
57,44,1.146128035678238,1,10,14,16,19,97,100
2,45,0.7781512503836436,2,12,15,17,19,90,151
58,3,0.6020599913279624,1,10,14,17,19,31,102
59,25,1.2041199826559248,1,9,14,16,25,59,100
60,46,0.0,0,9,14,17,26,99,100
61,47,1.0791812460476249,6,11,15,17,24,99,100
62,5,1.9542425094393248,1,9,14,16,25,51,128
63,16,0.6989700043360189,3,8,15,16,19,90,151
64,48,1.3010299956639813,1,8,15,17,19,43,100
65,21,0.3010299956639812,4,7,15,17,26,97,277
32,49,0.6020599913279624,2,13,15,16,19,90,153
66,5,2.1072099696478683,3,10,14,17,19,90,155
67,35,0.6020599913279624,2,8,15,17,26,58,184
68,50,1.4313637641589874,1,10,14,17,19,36,100
69,21,1.9084850188786497,1,9,14,17,19,90,153
13,20,1.6434526764861874,1,13,15,17,25,96,100
2,5,1.1760912590556813,6,11,15,17,19,90,151
70,45,0.0,2,12,15,16,25,97,277
71,51,1.041392685158225,2,13,15,17,26,99,100
72,5,0.9542425094393249,3,7,15,17,26,99,100
73,52,0.3010299956639812,2,10,14,17,19,36,123
74,53,0.0,1,10,14,16,26,80,238
75,5,1.146128035678238,0,11,15,17,19,97,100
22,54,0.9542425094393249,1,10,14,17,25,96,173
76,55,0.8450980400142568,1,10,14,17,21,97,100
34,16,0.6020599913279624,5,10,14,17,26,96,100
77,56,2.3283796034387376,1,8,15,17,19,39,132
63,57,1.380211241711606,3,13,15,16,19,90,151
64,21,1.4771212547196624,0,7,15,16,19,43,100
78,58,1.255272505103306,2,8,15,17,26,99,100
79,59,1.2787536009528289,4,12,15,18,19,90,100
80,28,0.0,2,10,14,17,25,96,173
39,60,1.2787536009528289,1,11,15,16,22,97,284
81,61,0.9542425094393249,0,11,15,17,19,72,206
1,5,0.6020599913279624,2,10,14,17,25,90,100
82,44,0.0,2,11,15,17,19,88,100
83,62,0.6989700043360189,6,13,15,17,24,97,100
9,0,0.0,2,10,14,17,26,99,100
84,63,2.0170333392987803,1,9,14,17,22,96,173
85,16,0.8450980400142568,0,10,14,17,22,96,173
86,64,2.3909351071033793,1,13,15,17,25,97,259
15,65,1.6532125137753437,1,13,15,17,19,78,233
87,66,0.0,6,13,15,17,25,97,100
88,17,0.0,2,9,14,17,26,36,119
32,21,1.1139433523068367,0,9,14,17,25,90,153
89,67,1.1760912590556813,2,8,15,18,22,97,262
33,68,0.0,4,8,15,17,22,44,146
90,3,1.1760912590556813,0,8,15,16,22,38,100
89,67,1.380211241711606,1,7,14,17,25,97,263
53,69,0.0,1,13,15,17,19,90,151
91,56,1.0,6,11,15,17,19,97,100
92,21,0.3010299956639812,3,11,15,17,20,73,100
93,70,0.0,2,9,14,17,25,58,100
67,11,1.414973347970818,1,8,15,17,19,58,184
94,71,3.173186268412274,0,7,15,17,25,56,196
77,5,0.9030899869919435,0,11,15,17,25,39,132
89,16,1.7160033436347992,0,10,14,17,19,97,257
95,72,0.0,6,13,15,17,20,36,100
90,73,1.0,4,7,15,17,24,38,100
33,74,0.0,3,11,15,17,26,44,146
96,16,1.041392685158225,3,11,15,16,19,36,124
38,33,0.0,0,10,14,18,25,97,259
90,21,0.6020599913279624,3,12,15,17,20,38,100
7,75,1.041392685158225,2,10,14,17,21,53,192
52,16,1.3222192947339193,2,10,14,16,25,96,163
97,69,0.0,0,10,14,17,19,78,233
98,76,0.7781512503836436,0,7,15,17,21,78,233
99,77,0.0,1,10,14,17,19,84,241
4,5,0.0,4,11,15,18,22,92,126
100,21,0.0,6,13,15,17,21,97,261
101,25,0.6020599913279624,1,10,14,16,26,42,133
37,78,1.0791812460476249,0,7,15,17,22,36,119
102,5,0.6020599913279624,0,13,15,17,22,90,151
103,11,0.0,3,7,15,17,23,97,288
104,21,0.3010299956639812,4,7,15,17,19,97,262
45,79,0.0,1,8,15,17,19,90,156
105,80,1.568201724066995,1,9,14,16,25,93,248
106,17,0.47712125471966244,3,10,14,17,19,97,100
105,81,1.792391689498254,4,11,15,17,25,93,250
107,82,0.3010299956639812,3,11,15,16,24,48,136
54,42,2.4265112613645754,6,7,14,17,25,90,100
108,20,1.3010299956639813,6,11,15,17,25,97,262
109,83,1.0791812460476249,0,11,15,17,21,97,282
10,11,0.0,3,9,14,17,26,90,153
110,26,1.3424226808222062,3,12,15,17,26,99,100
37,84,0.6020599913279624,6,9,14,17,19,36,119
89,67,1.6020599913279625,6,7,14,17,19,97,100
111,85,0.7781512503836436,1,8,15,17,19,90,151
112,5,1.662757831681574,1,9,14,17,25,90,100
113,40,2.320146286111054,1,11,15,16,19,97,100
114,86,1.7403626894942439,2,8,15,17,25,30,108
105,87,2.75815462196739,2,11,15,17,19,93,250
115,88,2.278753600952829,1,10,14,17,25,37,127
116,89,1.0,2,12,15,16,22,97,290
117,15,0.6020599913279624,1,13,15,16,19,97,100
118,25,1.9590413923210936,1,12,15,17,25,97,100
119,90,0.0,3,13,15,17,25,97,100
51,5,1.5440680443502757,0,7,15,17,25,90,151
120,40,0.47712125471966244,1,7,14,17,26,90,100
17,10,1.6434526764861874,2,12,15,17,24,36,125
33,11,1.1139433523068367,3,12,15,17,21,44,146
121,91,1.8129133566428555,4,8,15,16,25,97,100
55,92,1.146128035678238,4,10,14,17,25,97,100
122,33,0.6020599913279624,3,7,15,16,19,90,151
5,11,1.7634279935629373,1,9,14,16,19,90,151
123,93,0.6020599913279624,1,7,14,16,19,96,173
124,94,2.0681858617461617,6,9,14,17,25,97,100
47,21,1.5185139398778875,1,12,15,17,21,78,233
63,40,1.0791812460476249,0,9,14,18,19,90,151
115,95,0.0,0,13,15,17,25,37,127
22,40,1.6812412373755872,1,7,14,17,19,97,280
31,17,0.0,3,9,14,17,19,90,151
125,96,1.0,4,8,15,17,19,48,100
118,97,2.1789769472931693,5,8,15,17,25,97,100
126,5,2.6085260335771943,0,12,15,17,19,78,234
85,16,1.3424226808222062,1,10,14,17,21,96,173
127,25,1.1139433523068367,0,10,14,17,26,99,100
128,98,0.0,1,12,15,17,19,90,151
129,59,2.9876662649262746,2,12,15,17,25,93,252
130,25,0.0,0,10,14,17,26,99,100
131,28,1.2787536009528289,1,10,14,17,19,97,100
132,99,0.3010299956639812,5,10,14,16,25,97,100
133,100,0.0,3,7,15,16,19,90,151
89,21,0.6989700043360189,1,11,15,16,25,97,262
91,21,1.6334684555795866,0,13,15,17,19,97,100
2,101,0.7781512503836436,6,12,15,17,19,90,151
67,102,1.0791812460476249,2,12,15,17,25,58,184
134,103,1.0791812460476249,0,7,15,17,19,66,207
67,35,0.47712125471966244,2,10,14,17,26,58,184
135,104,0.0,0,10,14,17,21,78,233
136,105,1.0791812460476249,1,7,14,17,21,69,220
137,106,1.146128035678238,2,8,15,17,25,42,133
138,44,1.414973347970818,3,9,14,17,26,99,100
139,71,0.0,6,13,15,17,22,38,130
140,5,2.6283889300503116,5,10,14,16,25,85,100
141,107,1.7160033436347992,2,7,15,17,25,65,202
142,3,2.673941998634088,0,7,15,17,25,97,263
143,108,1.255272505103306,1,8,15,17,19,96,172
63,9,1.7781512503836436,5,13,15,16,19,90,151
32,59,0.47712125471966244,1,8,15,17,25,90,153
144,109,0.0,3,8,15,17,26,99,100
1,110,0.47712125471966244,3,8,15,17,25,90,151
70,111,1.6901960800285136,6,8,15,17,19,97,277
145,112,0.6020599913279624,1,10,14,17,25,90,151
70,16,1.414973347970818,2,8,15,16,25,97,277
146,113,0.3010299956639812,0,8,15,17,26,99,100
147,114,0.9030899869919435,1,7,14,17,19,30,106
67,11,1.1139433523068367,5,10,14,17,19,58,100
105,87,1.380211241711606,2,13,15,17,25,93,250
84,17,1.5797835966168101,1,12,15,17,25,96,173
49,39,0.7781512503836436,2,8,15,16,19,30,100
148,26,2.439332693830263,3,7,15,17,19,36,100
4,115,1.2041199826559248,0,9,14,17,25,92,126
42,5,0.47712125471966244,6,10,14,17,26,90,151
7,116,0.0,2,10,14,17,19,53,192
57,117,2.146128035678238,0,11,15,16,25,97,100
149,118,0.9030899869919435,2,10,14,17,25,30,100
42,119,0.0,0,8,15,17,25,65,202
130,120,0.0,1,13,15,17,26,99,100
150,121,2.2624510897304293,2,12,15,17,25,30,100
56,49,0.47712125471966244,1,8,15,17,19,69,214
151,122,2.6972293427597176,0,13,15,17,19,69,221
85,114,1.6812412373755872,4,9,14,17,21,96,173
152,40,2.0569048513364727,0,11,15,17,19,96,165
153,123,1.7160033436347992,3,13,15,16,19,90,151
12,124,1.6127838567197355,4,13,15,16,25,97,100
54,42,1.1139433523068367,2,11,15,17,25,41,100
154,125,0.0,1,9,14,17,19,90,151
155,33,0.6020599913279624,2,7,15,17,26,60,199
109,9,1.4313637641589874,0,13,15,17,22,97,100
156,126,0.6020599913279624,1,12,15,16,19,90,100
157,127,3.719248398447946,0,10,14,17,19,78,233
88,45,0.3010299956639812,1,12,15,17,19,36,119
14,128,3.203304916138483,1,7,14,17,19,49,175
158,129,0.47712125471966244,1,9,14,17,26,99,100
121,130,0.3010299956639812,2,10,14,16,25,97,100
149,131,2.8506462351830666,1,11,15,17,19,30,100
63,5,0.8450980400142568,1,8,15,16,19,90,151
159,132,0.0,4,13,15,17,19,90,151
105,21,0.6020599913279624,0,9,14,16,22,93,248
54,133,0.0,3,10,14,17,21,90,100
160,134,0.0,4,12,15,17,19,90,151
161,5,2.673020907128896,0,8,15,17,19,90,151
88,3,1.0791812460476249,2,7,15,17,25,36,125
162,3,1.7853298350107671,1,8,15,17,26,99,100
163,135,0.0,2,11,15,17,19,78,233
164,136,1.7481880270062005,4,11,15,16,19,97,100
70,16,0.0,4,13,15,17,25,97,277
45,137,0.0,0,8,15,17,26,90,156
165,138,0.0,4,11,15,17,19,78,233
77,5,3.0755469613925306,1,12,15,17,22,39,132
38,33,1.041392685158225,0,9,14,17,26,99,100
166,26,0.6020599913279624,1,13,15,17,26,97,100
10,21,0.6020599913279624,5,12,15,17,25,90,153
167,139,0.7781512503836436,2,8,15,17,25,97,256
96,140,2.1583624920952498,2,9,14,16,21,36,124
168,21,2.303196057420489,2,9,14,17,22,96,100
69,25,1.146128035678238,1,13,15,17,25,90,153
79,25,0.9030899869919435,0,10,14,17,22,90,100
15,141,0.0,5,13,15,17,21,78,233
155,142,0.3010299956639812,2,9,14,17,25,60,199
91,16,0.3010299956639812,3,7,15,16,22,97,100
10,5,1.0,2,7,15,17,26,90,153
141,143,0.6020599913279624,3,12,15,17,25,65,202
169,144,2.1583624920952498,2,8,15,17,24,60,199
70,145,1.9777236052888478,2,9,14,16,19,97,277
170,35,1.7781512503836436,4,7,15,17,19,97,263
86,146,2.481442628502305,0,11,15,17,25,97,262
48,5,3.3884564527002667,0,8,15,18,25,90,151
171,26,0.0,0,11,15,18,19,97,292
172,35,0.3010299956639812,3,11,15,16,25,58,184
63,5,0.47712125471966244,0,10,14,17,26,99,100
155,33,1.591064607026499,1,13,15,17,25,60,199
173,147,0.0,3,10,14,17,26,99,100
40,21,0.3010299956639812,1,7,14,16,26,90,154
174,21,0.6020599913279624,3,9,14,17,26,99,100
73,148,0.0,1,8,15,18,19,36,123
90,102,0.6989700043360189,2,12,15,17,19,38,100
175,149,1.9542425094393248,2,8,15,17,19,96,168
22,150,1.6532125137753437,6,13,15,18,19,96,173
176,25,0.7781512503836436,1,7,14,17,25,96,100
33,39,0.0,3,7,15,17,19,44,146
131,115,0.8450980400142568,2,11,15,17,21,97,100
177,11,1.6812412373755872,4,7,15,17,25,97,264
175,151,0.3010299956639812,5,11,15,17,26,96,100
178,9,3.747100931364986,4,13,15,17,19,90,151
179,0,1.414973347970818,4,10,14,17,19,58,184
180,152,1.6232492903979006,1,13,15,17,26,99,100
181,153,0.9542425094393249,3,12,15,17,19,97,100
182,154,0.7781512503836436,4,7,15,16,19,97,282
183,16,1.0791812460476249,2,7,15,17,22,32,109
184,16,0.6020599913279624,2,11,15,17,25,90,151
185,155,1.0791812460476249,2,10,14,17,21,78,233
128,5,2.6757783416740852,0,8,15,17,25,65,202
86,25,1.5314789170422551,6,11,15,17,25,97,259
51,25,0.0,1,13,15,17,26,90,151
186,42,0.0,2,8,15,17,25,97,100
115,156,0.0,1,10,14,17,19,37,127
79,9,1.8573324964312685,1,12,15,17,19,90,100
187,157,0.0,0,13,15,18,25,90,151
171,25,0.3010299956639812,0,11,15,17,19,97,292
46,3,0.0,1,7,14,17,19,73,227
188,20,0.8450980400142568,5,9,14,17,19,75,100
189,16,0.47712125471966244,1,8,15,17,25,97,100
141,39,0.3010299956639812,2,12,15,17,26,65,100
190,158,0.7781512503836436,0,13,15,17,19,97,100
191,159,0.0,1,12,15,17,26,99,100
192,45,1.2304489213782739,1,11,15,17,22,74,229
193,160,1.0,0,9,14,17,21,62,200
193,161,0.0,2,7,15,17,26,62,200
107,25,0.8450980400142568,2,11,15,16,24,48,136
192,9,0.3010299956639812,2,7,15,16,19,74,229
136,162,1.4913616938342726,4,12,15,17,19,69,220
194,163,1.1139433523068367,2,9,14,17,25,84,100
10,39,0.47712125471966244,0,13,15,17,19,90,153
195,164,0.0,0,8,15,17,25,65,202
149,165,1.7323937598229686,0,9,14,17,25,30,106
41,166,0.0,1,10,14,17,25,69,100
1,11,1.4471580313422192,2,10,14,17,19,90,100
77,167,1.8195439355418688,0,13,15,17,22,39,132
196,65,1.2304489213782739,6,10,14,16,25,90,100
5,11,0.9542425094393249,0,10,14,16,25,90,151
166,168,0.0,1,12,15,17,25,97,100
128,102,2.593286067020457,1,13,15,17,19,65,202
197,169,1.041392685158225,0,11,15,17,25,96,173
198,170,0.47712125471966244,1,13,15,17,22,57,182
12,171,1.845098040014257,5,9,14,16,25,97,100
199,16,0.8450980400142568,2,9,14,17,19,90,151
153,5,1.4771212547196624,4,12,15,16,19,90,151
34,11,0.9030899869919435,6,10,14,17,25,96,100
179,21,0.7781512503836436,0,8,15,17,19,58,184
185,48,0.0,3,11,15,17,25,78,233
63,16,0.6020599913279624,5,7,15,18,26,90,151
129,172,2.859138297294531,1,8,15,17,25,93,252
134,17,2.484299839346786,4,11,15,17,19,71,100
107,173,0.3010299956639812,6,13,15,16,24,48,136
12,174,0.47712125471966244,1,9,14,16,19,97,100
85,175,1.3424226808222062,2,10,14,17,21,96,173
157,102,1.146128035678238,0,12,15,17,19,78,233
174,114,1.7323937598229686,4,7,15,17,26,99,100
112,9,1.2041199826559248,2,7,15,17,19,90,151
185,176,0.0,3,11,15,17,21,78,233
1,17,0.0,3,13,15,17,26,90,151
129,59,0.3010299956639812,3,11,15,17,19,93,253
200,3,0.0,0,13,15,17,26,99,100
187,9,2.05307844348342,1,10,14,17,25,90,100
201,177,0.0,1,10,14,17,25,36,124
202,110,0.0,5,12,15,17,19,73,225
123,78,0.3010299956639812,4,12,15,16,19,96,173
203,179,1.4913616938342726,0,8,15,17,19,96,172
8,21,0.7781512503836436,0,8,15,16,19,36,120
204,180,0.0,0,7,15,17,25,95,101
205,16,0.47712125471966244,2,11,15,17,19,57,182
151,33,1.1760912590556813,5,7,15,17,25,69,209
206,33,0.0,3,9,14,17,25,84,240
207,181,2.1335389083702174,3,7,15,17,19,30,107
52,182,0.3010299956639812,2,10,14,16,19,96,163
168,183,1.7323937598229686,5,9,14,16,19,96,100
208,9,1.4771212547196624,3,11,15,16,19,90,151
52,184,2.8830933585756897,2,9,14,17,19,96,166
209,78,2.4800069429571505,0,12,15,17,19,97,100
148,26,0.0,4,10,14,17,22,36,100
210,185,0.3010299956639812,2,10,14,16,21,92,126
193,186,1.1760912590556813,1,7,14,17,25,62,200
98,65,0.47712125471966244,6,7,14,17,21,78,233
55,21,0.0,6,9,14,17,26,97,100
211,33,0.6020599913279624,1,11,15,17,24,54,181
212,188,0.0,3,8,15,17,23,97,100
211,33,1.0,3,13,15,17,25,54,181
213,25,0.3010299956639812,1,13,15,16,19,48,134
43,78,1.4771212547196624,1,9,14,17,19,97,270
214,25,1.1760912590556813,1,7,14,17,25,69,210
215,21,1.3424226808222062,0,8,15,16,25,40,177
216,25,1.792391689498254,1,8,15,17,25,69,213
187,59,0.0,0,13,15,18,26,90,151
217,44,0.0,2,12,15,17,19,97,100
218,103,0.3010299956639812,1,13,15,17,19,97,276
219,28,0.3010299956639812,2,13,15,18,19,36,100
167,189,1.5563025007672873,0,10,14,17,19,97,256
128,190,0.0,0,12,15,17,19,90,151
84,136,0.0,2,9,14,17,19,96,173
216,44,0.0,1,10,14,17,19,69,213
97,3,0.7781512503836436,0,9,14,17,21,78,233
119,191,0.0,3,13,15,17,25,97,100
61,21,0.3010299956639812,0,11,15,17,24,99,100
79,59,2.0253058652647704,2,8,15,18,19,90,100
203,17,1.4313637641589874,0,10,14,17,19,96,172
5,11,2.2095150145426308,0,10,14,16,19,90,151
220,16,0.3010299956639812,1,8,15,17,25,97,100
65,150,1.845098040014257,1,7,14,17,26,97,277
109,192,0.0,1,9,14,17,26,97,100
221,193,0.3010299956639812,5,11,15,17,25,52,100
33,194,0.0,4,8,15,17,25,44,146
222,156,0.0,0,8,15,17,19,44,145
223,143,0.0,6,9,14,17,25,45,148
224,20,0.0,5,12,15,17,19,97,261
85,11,0.47712125471966244,6,11,15,17,25,96,173
225,195,0.0,1,10,14,17,19,78,233
226,21,0.0,3,10,14,17,19,97,100
151,196,2.130333768495006,4,8,15,17,19,69,221
8,17,0.47712125471966244,1,11,15,16,24,36,120
92,197,1.505149978319906,3,10,14,17,25,73,100
118,79,0.0,3,10,14,17,19,97,100
22,26,1.4313637641589874,3,7,15,17,19,96,173
32,17,0.3010299956639812,0,12,15,18,25,90,153
67,198,0.6020599913279624,1,8,15,17,19,58,184
118,199,0.0,3,10,14,17,21,97,100
42,21,0.0,4,11,15,17,19,90,151
64,200,0.6989700043360189,2,8,15,17,19,43,100
204,201,0.0,0,7,15,17,25,95,101
136,16,1.863322860120456,6,10,14,17,19,69,220
132,99,1.2041199826559248,1,13,15,17,25,97,100
184,16,0.9542425094393249,2,7,15,17,19,90,151
24,16,0.9030899869919435,1,11,15,17,21,97,100
227,202,0.0,0,8,15,17,26,99,100
84,67,2.949390006644913,2,9,14,17,25,96,173
33,138,0.0,4,8,15,17,21,44,146
100,16,0.3010299956639812,2,12,15,17,21,97,261
228,203,0.3010299956639812,2,8,15,17,26,99,100
20,18,1.3010299956639813,4,7,15,17,19,65,100
96,9,1.414973347970818,6,9,14,17,24,36,100
184,33,1.1760912590556813,2,11,15,17,25,90,151
182,16,1.414973347970818,4,7,15,17,22,97,282
229,17,0.0,2,7,15,17,21,96,173
224,20,1.041392685158225,1,9,14,17,19,97,261
26,5,1.255272505103306,2,11,15,17,19,58,100
230,204,2.012837224705172,2,11,15,17,26,99,100
44,5,2.012837224705172,0,13,15,18,25,90,100
17,205,0.47712125471966244,0,8,15,17,19,36,119
161,5,2.290034611362518,2,9,14,17,19,90,151
133,206,0.0,0,11,15,17,19,90,151
1,1,1.7481880270062005,3,13,15,17,25,90,151
25,207,0.0,1,10,14,17,26,80,100
33,40,1.0791812460476249,4,13,15,17,25,44,146
222,5,2.0211892990699383,4,12,15,17,25,44,145
208,9,1.0,1,13,15,17,19,90,151
70,16,0.9542425094393249,4,10,14,16,22,97,277
231,16,1.505149978319906,2,13,15,17,19,87,245
158,129,1.3222192947339193,1,12,15,17,26,99,100
232,208,1.2304489213782739,2,8,15,16,19,97,295
233,207,0.0,3,12,15,17,19,98,297
234,102,2.484299839346786,1,13,15,17,19,30,104
128,209,0.0,0,12,15,17,19,90,151
235,25,1.6532125137753437,5,9,14,16,25,96,167
84,25,1.8260748027008264,3,10,14,17,22,96,173
97,21,1.414973347970818,1,8,15,17,21,78,233
159,210,0.0,4,11,15,17,19,90,151
45,39,0.0,1,8,15,17,25,90,156
215,21,1.9637878273455553,6,7,14,17,26,99,100
236,211,0.3010299956639812,3,10,14,17,26,99,100
26,212,0.3010299956639812,0,11,15,17,26,58,100
86,213,1.8573324964312685,0,9,14,17,19,97,262
237,214,0.47712125471966244,1,12,15,17,25,97,100
155,65,1.4913616938342726,1,11,15,17,25,60,199
238,9,0.3010299956639812,6,9,14,17,22,96,173
239,215,0.6020599913279624,4,10,14,17,19,97,100
240,103,0.3010299956639812,6,8,15,17,19,78,233
241,40,0.0,3,11,15,16,26,96,100
92,185,3.131297796597623,3,7,15,17,25,73,100
90,16,0.3010299956639812,3,12,15,16,24,38,100
70,16,1.041392685158225,1,9,14,16,26,97,277
202,110,0.3010299956639812,1,10,14,17,19,73,225
14,11,1.4913616938342726,2,8,15,17,19,49,100
72,21,0.8450980400142568,1,7,14,17,26,99,100
136,74,0.6020599913279624,3,9,14,17,21,69,220
41,216,0.0,1,10,14,17,25,69,100
74,217,1.7781512503836436,1,8,15,16,19,80,238
242,5,1.255272505103306,6,13,15,17,26,99,100
243,218,0.0,1,13,15,17,19,85,243
118,97,1.3010299956639813,2,8,15,17,22,97,100
244,5,1.9242792860618816,1,7,14,17,19,90,100
109,40,0.0,4,9,14,17,22,97,100
245,219,0.0,3,7,15,17,25,87,245
246,220,2.060697840353612,2,7,15,17,25,97,263
96,11,2.1818435879447726,5,12,15,16,25,36,124
6,102,0.0,0,11,15,17,19,90,151
16,221,0.9030899869919435,0,9,14,17,21,36,122
247,58,0.0,0,11,15,17,26,99,100
185,222,0.0,0,11,15,17,21,78,233
248,21,0.6020599913279624,1,10,14,17,26,99,100
39,223,1.041392685158225,3,11,15,16,21,97,284
34,11,0.7781512503836436,0,13,15,17,22,96,100
157,5,2.5599066250361124,0,8,15,17,21,78,233
26,5,0.6989700043360189,0,10,14,17,19,58,100
2,45,0.3010299956639812,0,11,15,16,19,90,151
249,25,0.0,5,13,15,17,24,97,100
50,25,1.9294189257142929,2,9,14,17,19,78,233
136,5,2.8767949762007006,0,8,15,17,21,69,214
84,113,0.0,6,9,14,17,24,96,173
250,224,0.0,1,9,14,17,19,90,151
3,21,1.255272505103306,0,13,15,17,19,97,282
84,193,3.1209028176145273,1,8,15,17,19,96,173
251,225,0.0,1,8,15,17,25,45,148
252,33,0.47712125471966244,2,11,15,17,19,97,258
148,226,1.7634279935629373,5,13,15,17,22,36,100
253,227,0.0,2,12,15,17,19,97,281
140,17,2.7067177823367587,4,9,14,16,25,85,100
254,228,1.6020599913279625,1,10,14,17,19,69,213
40,229,1.255272505103306,1,7,14,16,19,90,154
255,230,0.0,6,13,15,17,19,96,173
90,25,0.0,1,9,14,16,26,38,100
165,5,1.255272505103306,1,13,15,17,21,78,233
76,14,0.3010299956639812,1,11,15,17,25,97,100
124,231,0.0,0,9,14,17,19,97,100
256,16,0.3010299956639812,2,9,14,16,19,90,100
257,21,0.3010299956639812,0,8,15,17,19,80,100
258,232,1.0791812460476249,6,11,15,17,26,99,100
99,233,0.0,4,8,15,17,19,84,241
224,234,0.3010299956639812,3,7,15,17,19,97,261
76,55,1.146128035678238,3,8,15,16,21,97,100
33,235,0.0,4,8,15,17,25,44,146
259,78,0.0,4,11,15,17,25,97,264
84,236,0.3010299956639812,1,13,15,17,24,96,173
260,237,0.0,3,13,15,16,19,96,174
261,21,0.6020599913279624,0,11,15,17,25,86,100
244,16,0.0,0,10,14,17,22,90,100
49,238,0.3010299956639812,0,13,15,17,19,30,100
262,17,0.7781512503836436,6,7,14,16,25,90,151
42,21,0.6020599913279624,0,10,14,17,26,28,100
263,15,1.3617278360175928,1,13,15,17,21,97,100
69,25,0.0,0,10,14,17,26,90,100
91,56,2.0086001717619175,0,11,15,17,21,97,100
86,25,1.8573324964312685,4,11,15,17,19,97,262
182,239,0.0,2,7,15,16,22,97,282
92,240,0.0,3,11,15,17,25,73,100
209,241,1.3979400086720377,5,7,15,17,19,97,100
107,25,0.0,1,12,15,17,19,48,136
264,16,1.2041199826559248,1,8,15,17,19,97,100
265,25,2.2430380486862944,5,11,15,17,21,97,100
132,242,1.0,1,8,15,16,22,97,100
266,243,0.3010299956639812,6,8,15,17,23,96,173
89,102,0.0,1,7,14,17,25,97,262
236,193,0.0,1,7,14,17,26,99,100
267,26,0.0,1,11,15,16,26,97,100
239,162,1.591064607026499,2,9,14,17,25,97,100
8,21,0.6020599913279624,6,8,15,17,24,36,120
199,9,0.0,0,10,14,17,19,90,151
96,11,1.505149978319906,0,10,14,17,21,36,124
247,58,1.146128035678238,4,7,15,17,26,99,100
123,166,0.3010299956639812,6,12,15,16,19,96,173
15,244,0.3010299956639812,1,10,14,17,26,78,233
77,245,2.369215857410143,0,8,15,17,24,39,132
