item,category,downloads,language,price,rating
270,21,36,56,76,79
271,17,43,56,76,79
272,8,32,56,76,79
273,21,41,56,76,79
274,21,45,56,76,79
275,31,47,74,78,82
276,0,45,56,76,80
277,6,37,56,76,81
278,23,36,56,76,79
279,27,42,56,76,81
280,0,36,56,76,79
281,18,34,51,76,81
282,4,37,56,76,79
283,19,42,56,76,79
284,14,32,56,76,79
285,21,37,56,76,79
286,18,45,56,76,79
287,20,37,56,76,79
288,27,45,56,76,79
289,6,36,56,76,81
290,12,32,56,76,79
291,23,37,57,76,80
292,18,37,59,76,80
293,8,45,56,76,81
294,23,37,56,76,79
295,21,45,56,76,79
296,18,34,56,76,79
297,21,45,56,76,79
298,29,42,56,76,80
299,18,37,56,76,79
300,15,32,56,76,79
301,17,32,56,76,79
302,25,37,56,76,80
303,19,36,56,76,79
304,8,43,56,76,79
305,20,41,56,76,79
306,25,37,56,76,81
307,27,32,56,76,79
308,18,45,65,76,80
309,29,32,56,76,81
310,8,32,56,76,79
311,17,32,56,76,79
312,17,36,56,76,79
313,21,36,56,76,79
314,27,41,56,76,79
315,29,37,56,76,81
316,17,41,56,76,81
317,24,41,56,76,81
318,11,45,56,76,81
319,21,32,56,76,79
320,31,47,74,78,82
321,15,32,56,76,79
322,31,47,74,78,82
323,21,34,56,76,80
324,18,32,54,76,80
325,20,34,56,76,81
326,27,42,56,76,81
327,27,45,56,76,79
328,6,41,56,76,79
329,10,41,56,76,80
330,15,42,56,77,79
331,3,42,56,77,79
332,31,47,74,78,82
333,17,41,56,76,80
334,4,41,56,76,79
335,10,45,57,76,81
336,17,36,56,76,81
337,6,41,56,76,81
338,3,34,56,77,79
339,31,47,74,78,82
340,0,41,56,76,79
341,24,34,56,76,81
342,20,32,56,76,79
343,31,47,74,78,82
344,0,32,56,76,79
345,8,32,56,76,79
346,23,37,56,76,79
347,27,36,56,76,81
348,15,36,56,76,79
349,24,41,56,76,81
350,1,36,56,76,79
351,8,32,56,76,81
352,24,32,56,76,79
353,15,37,56,76,79
354,31,47,74,78,82
355,9,32,56,76,79
356,6,37,56,76,79
357,19,41,56,76,79
358,18,40,56,76,79
359,3,36,56,76,81
360,1,36,56,76,79
361,10,32,56,76,81
362,8,42,56,76,79
363,10,32,56,76,79
364,28,32,56,76,79
365,23,34,56,76,80
366,15,37,56,76,79
367,14,41,56,76,80
368,18,32,56,76,81
369,14,32,56,76,79
370,3,41,56,76,79
371,27,37,56,76,79
372,21,36,56,76,79
373,18,42,56,76,80
374,18,32,56,76,79
375,8,45,56,76,81
376,27,34,56,76,80
377,8,36,56,76,79
378,24,45,56,76,81
379,10,32,56,76,79
380,6,37,56,77,81
381,8,37,56,76,81
382,8,41,56,76,81
383,31,47,74,78,82
384,21,37,56,76,79
385,25,32,56,76,81
386,27,34,56,76,81
387,1,37,56,77,79
388,14,45,56,76,79
389,28,34,56,76,80
390,3,36,56,76,79
391,21,32,56,76,79
392,19,34,56,77,81
393,24,45,56,76,81
394,11,34,56,76,81
395,24,36,56,76,81
396,28,37,56,76,79
397,8,32,56,76,79
398,19,34,56,76,81
399,31,47,74,78,82
400,19,45,56,76,79
401,17,32,56,76,79
402,7,37,56,76,79
403,17,45,56,77,79
404,31,47,74,78,82
405,19,36,56,76,79
406,2,35,56,76,79
407,25,36,56,76,81
408,27,42,56,77,81
409,21,32,56,76,81
410,27,32,56,76,79
411,31,47,74,78,82
412,3,36,56,76,79
413,21,32,56,76,79
414,28,42,56,76,79
415,10,36,56,76,79
416,21,32,56,76,79
417,21,34,56,76,79
418,20,36,56,76,79
419,6,40,56,76,79
420,1,32,56,76,81
421,3,36,56,76,79
422,18,37,56,76,79
423,21,34,56,76,81
424,31,47,74,78,82
425,31,47,74,78,82
426,31,47,74,78,82
427,27,40,56,76,79
428,27,37,56,76,79
429,21,36,56,76,79
430,24,37,56,77,79
431,6,42,56,76,79
432,31,47,74,78,82
433,8,36,56,76,79
434,8,36,56,76,81
435,28,37,56,76,79
436,25,32,56,76,79
437,27,34,56,76,80
438,18,37,56,76,81
439,3,45,56,76,79
440,27,37,56,76,80
441,8,34,56,76,79
442,8,36,56,76,81
443,11,37,56,76,81
444,11,45,56,76,81
445,6,32,56,76,79
446,27,36,56,76,79
447,21,32,56,76,79
448,29,32,56,76,79
449,18,34,56,76,79
450,17,45,56,77,79
451,6,41,56,76,79
452,28,37,56,76,81
453,12,37,56,76,79
454,15,45,56,76,79
455,20,34,56,76,81
456,31,47,74,78,82
457,3,37,56,76,79
458,27,32,56,76,79
459,30,34,56,77,79
460,29,32,48,76,81
461,31,47,74,78,82
462,21,37,56,76,79
463,17,36,56,76,79
464,15,45,56,76,81
465,14,32,56,76,81
466,6,45,56,76,79
467,19,45,56,77,79
468,20,37,56,76,79
469,21,32,56,76,79
470,31,47,74,78,82
471,31,47,74,78,82
472,21,32,56,76,79
473,3,45,75,76,79
474,27,32,56,76,81
475,21,41,56,76,79
476,27,41,56,76,79
477,11,34,56,76,79
478,4,32,56,76,79
479,23,36,56,76,81
480,24,42,56,76,80
481,18,34,56,77,79
482,31,47,74,78,82
483,27,45,56,76,79
484,31,47,74,78,82
485,19,34,56,77,79
486,31,47,74,78,82
487,3,41,56,76,79
488,31,47,74,78,82
489,18,34,55,76,79
490,1,36,56,76,81
491,27,45,56,76,79
492,31,47,74,78,82
493,10,42,56,76,79
494,5,36,56,76,79
495,24,32,56,76,81
496,24,42,56,76,79
497,31,47,74,78,82
498,21,32,56,76,79
499,11,42,66,76,81
500,21,37,56,76,79
501,21,37,56,76,79
502,20,34,56,76,80
503,21,37,56,76,80
504,15,34,56,76,79
505,15,32,56,76,81
506,21,41,56,76,79
507,27,42,56,76,79
508,6,36,56,76,79
509,1,32,56,76,79
510,24,32,56,76,81
511,27,40,56,76,80
512,27,34,56,77,81
513,19,45,56,76,79
514,31,47,74,78,82
515,10,42,57,76,81
516,8,34,56,77,79
517,29,41,56,76,79
518,0,37,56,76,79
519,31,47,74,78,82
520,8,45,56,76,81
521,21,32,56,76,79
522,11,37,56,76,80
523,11,32,56,76,79
524,21,36,56,76,79
525,31,47,74,78,82
526,18,42,58,76,80
527,8,37,56,76,81
528,31,47,74,78,82
529,11,45,56,76,81
530,27,34,56,76,81
531,3,41,56,76,79
532,23,43,56,76,81
533,27,37,56,76,79
534,8,32,56,76,79
535,20,36,56,76,79
536,31,47,74,78,82
537,27,41,56,76,79
538,31,47,74,78,82
539,24,34,56,76,79
540,17,36,56,76,81
541,12,36,56,76,79
542,0,32,56,76,79
543,24,45,56,76,81
544,15,32,56,76,79
545,11,42,66,76,79
546,1,41,56,76,79
547,12,37,56,77,79
548,28,37,56,76,79
549,18,32,56,76,79
550,12,41,56,76,79
551,31,47,74,78,82
552,20,34,56,76,81
553,20,37,56,76,81
554,15,32,56,76,79
555,12,42,56,76,79
556,3,42,56,76,80
557,27,37,56,76,79
558,22,41,56,76,79
559,19,45,56,76,79
560,3,32,56,76,79
561,8,45,56,76,81
562,31,47,74,78,82
563,18,45,54,76,81
564,4,32,56,76,79
565,30,37,56,76,81
566,28,37,56,76,79
567,27,34,62,76,79
568,11,45,56,76,79
569,19,34,56,76,81
570,27,36,56,76,81
571,9,45,57,76,79
572,31,47,74,78,82
573,3,32,56,76,80
574,15,45,56,76,79
575,29,37,56,76,79
576,18,42,58,76,80
577,31,47,74,78,82
578,20,37,56,76,80
579,27,32,56,76,79
580,12,32,56,76,79
581,6,42,56,76,81
582,27,37,56,76,79
583,31,47,74,78,82
584,17,45,56,77,79
585,18,45,56,76,79
586,18,37,56,76,81
587,31,47,74,78,82
588,0,41,56,76,79
589,27,32,57,76,80
590,8,37,56,76,79
591,18,32,75,76,80
592,27,36,56,76,79
593,31,47,74,78,82
594,5,34,56,76,79
595,6,45,56,76,80
596,0,42,56,77,79
597,31,47,74,78,82
598,27,37,56,76,79
599,30,34,56,76,81
600,24,41,56,76,81
601,18,32,56,76,79
602,13,45,56,76,81
603,21,40,56,76,79
604,31,47,74,78,82
605,18,32,56,76,81
606,21,42,56,77,79
607,8,41,56,76,79
608,27,37,56,76,79
609,31,47,74,78,82
610,11,32,56,76,80
611,31,47,74,78,82
612,31,47,74,78,82
613,21,43,56,76,79
614,27,32,56,76,79
615,30,32,56,76,79
616,31,47,74,78,82
617,23,45,56,76,79
618,8,40,56,76,81
619,27,42,56,76,79
620,31,47,74,78,82
621,27,42,56,76,81
622,31,47,74,78,82
623,21,36,56,76,79
624,10,37,56,76,80
625,21,37,56,77,79
626,4,34,56,76,80
627,21,37,56,76,79
628,31,47,74,78,82
629,20,36,56,76,79
630,17,34,56,76,79
631,12,32,56,76,79
632,10,45,56,76,81
633,1,41,56,76,79
634,31,47,74,78,82
635,21,37,56,76,81
636,15,34,56,76,80
637,6,37,56,76,79
638,6,45,56,76,81
639,21,34,56,76,81
640,31,47,74,78,82
641,3,37,56,76,81
642,3,42,56,76,79
643,31,47,74,78,82
644,19,37,56,76,79
645,18,34,49,76,79
646,18,42,56,76,80
647,13,32,56,76,81
648,19,34,56,76,81
649,9,37,56,76,79
650,8,34,56,76,79
651,31,47,74,78,82
652,4,45,56,77,79
653,31,47,74,78,82
654,24,41,56,76,81
655,10,32,56,76,79
656,27,34,56,76,81
657,23,37,56,76,79
658,31,47,74,78,82
659,20,45,56,76,81
660,0,41,56,76,79
661,0,32,56,76,79
662,8,37,56,76,81
663,27,45,56,76,79
664,0,37,56,77,79
665,15,32,56,76,79
666,19,36,56,76,81
667,8,32,56,76,81
668,18,34,56,76,79
669,15,32,56,76,81
670,27,40,56,76,79
671,28,45,56,76,80
672,24,40,56,76,81
673,19,32,56,76,79
674,20,32,56,76,81
675,10,36,56,76,79
676,18,37,56,76,79
677,18,32,56,76,81
678,31,47,74,78,82
679,21,37,56,76,79
680,24,41,56,76,79
681,31,47,74,78,82
682,18,34,56,76,79
683,12,34,56,76,81
684,18,37,56,76,79
685,0,36,56,76,79
686,18,41,56,76,80
687,21,38,56,77,79
688,1,41,56,76,79
689,0,43,56,76,79
690,8,40,56,77,79
691,0,37,56,76,79
692,31,47,74,78,82
693,31,47,74,78,82
694,31,47,74,78,82
695,26,32,56,76,79
696,0,32,56,76,81
697,17,37,56,76,79
698,12,41,56,76,79
699,27,32,56,76,79
700,14,45,56,76,80
701,29,39,56,76,79
702,30,45,56,76,79
703,0,45,56,76,79
704,27,42,56,76,79
705,31,47,74,78,82
706,21,40,56,76,79
707,11,41,56,76,81
708,4,32,56,76,81
709,18,42,56,76,80
710,14,34,67,76,80
711,31,47,74,78,82
712,21,36,56,76,81
713,17,32,69,76,79
714,21,37,56,76,79
715,5,32,56,76,79
716,3,37,56,76,81
717,8,36,56,76,79
718,27,34,56,77,81
719,0,36,56,76,79
720,21,46,56,77,79
721,18,42,51,76,81
722,29,37,56,76,81
723,21,45,56,76,79
724,31,47,74,78,82
725,0,32,56,76,79
726,24,32,56,76,81
727,31,47,74,78,82
728,3,45,56,76,81
729,31,47,74,78,82
730,19,37,56,76,79
731,27,32,56,76,79
732,27,37,56,77,79
733,15,37,56,76,79
734,27,34,56,76,79
735,3,45,56,76,79
736,27,34,56,76,81
737,21,34,56,76,81
738,18,37,65,76,81
739,31,47,74,78,82
740,9,37,56,76,81
741,10,45,56,76,79
742,8,42,56,76,81
743,27,42,56,76,81
744,4,34,56,76,81
745,20,37,56,76,81
746,24,32,56,76,79
747,30,45,56,76,79
748,19,42,56,76,79
749,18,36,56,76,79
750,7,34,75,76,79
751,27,37,56,76,80
752,12,42,56,76,81
753,31,47,74,78,82
754,18,40,56,77,79
755,21,36,56,76,79
756,6,45,56,76,79
757,9,37,56,76,79
758,11,41,56,76,81
759,4,41,56,76,79
760,21,41,56,76,79
761,27,37,56,76,79
762,27,36,56,76,79
763,28,42,56,76,81
764,27,42,56,76,79
765,14,34,56,76,79
766,8,42,56,76,81
767,25,32,56,76,81
768,11,32,56,76,81
769,31,47,74,78,82
770,18,40,51,76,80
771,0,45,56,76,81
772,31,47,74,78,82
773,23,32,56,76,79
774,10,32,56,76,79
775,0,32,56,76,79
776,14,37,56,76,79
777,27,36,56,76,79
778,3,45,56,76,81
779,31,47,74,78,82
780,18,32,56,76,79
781,0,32,56,76,79
782,14,34,56,76,79
783,31,47,74,78,82
784,10,32,56,76,80
785,3,36,56,76,79
786,15,45,56,76,79
787,19,32,56,76,79
788,6,45,56,76,81
789,17,37,56,77,79
790,27,41,56,76,79
791,14,32,56,76,79
792,30,37,51,76,79
793,21,37,56,76,81
794,21,32,56,76,79
795,24,32,56,76,80
796,18,37,56,76,79
797,0,34,56,76,79
798,3,34,56,76,79
799,10,42,56,76,80
800,10,45,56,76,80
801,18,40,56,76,81
802,8,32,56,76,81
803,30,37,56,77,79
804,8,42,56,76,80
805,31,47,74,78,82
806,18,37,56,76,81
807,0,34,56,76,81
808,18,42,59,76,80
809,25,37,65,76,80
810,31,47,74,78,82
811,31,47,74,78,82
812,29,36,56,76,81
813,24,32,56,76,79
814,31,47,74,78,82
815,5,45,56,76,81
816,17,42,56,77,79
817,8,37,56,76,81
818,16,37,56,76,80
819,19,46,56,77,79
820,31,47,74,78,82
821,15,34,56,76,79
822,21,42,56,76,79
823,31,47,74,78,82
824,18,32,56,76,79
825,12,34,56,76,79
826,24,37,56,76,79
827,18,32,75,76,81
828,17,32,56,76,80
829,18,42,56,76,79
830,3,36,56,76,79
831,8,32,56,76,79
832,31,47,74,78,82
833,25,34,56,77,79
834,18,37,56,76,81
835,31,47,74,78,82
836,24,37,56,76,79
837,12,32,56,76,79
838,27,32,56,76,79
839,27,32,56,76,81
840,1,45,56,76,81
841,6,45,56,76,79
842,29,45,56,76,79
843,21,41,56,76,79
844,21,37,56,77,81
845,3,36,56,76,81
846,30,37,56,76,79
847,6,32,56,76,81
848,18,37,56,76,79
849,14,40,56,76,79
850,0,32,56,76,81
851,28,42,56,76,80
852,8,37,56,76,81
853,1,37,56,76,79
854,14,37,54,76,81
855,17,32,56,76,79
856,27,37,56,76,79
857,24,34,56,76,80
858,3,45,56,76,81
859,21,34,56,76,79
860,24,37,58,76,81
861,21,37,56,76,79
862,17,45,56,76,81
863,12,42,56,76,81
864,21,45,56,76,79
865,31,47,74,78,82
866,10,40,57,76,79
867,9,34,56,77,79
868,8,37,56,76,80
869,3,37,56,76,79
870,27,34,56,76,81
871,25,37,51,76,79
872,29,42,56,76,80
873,3,32,49,76,79
874,29,37,56,76,80
875,20,42,56,76,81
876,31,47,74,78,82
877,21,34,56,76,79
878,31,47,74,78,82
879,27,37,56,76,80
880,30,45,56,76,79
881,27,36,56,76,79
882,10,40,56,76,81
883,24,34,56,76,81
884,31,47,74,78,82
885,6,32,56,76,79
886,12,32,56,76,81
887,5,42,56,76,79
888,9,40,56,76,79
889,27,36,56,76,81
890,14,32,56,76,81
891,0,37,56,76,79
892,27,34,56,77,79
893,12,40,56,76,80
894,3,36,56,76,79
895,19,45,56,76,79
896,8,45,56,76,79
897,24,42,56,76,81
898,1,42,56,76,79
899,18,32,56,76,79
900,17,37,58,76,81
901,21,37,56,76,79
902,15,32,56,76,81
903,14,45,56,76,81
904,26,42,56,76,81
905,11,40,56,76,80
906,24,42,56,76,80
907,14,37,56,76,81
908,6,36,56,76,79
909,14,34,75,76,81
910,27,37,56,76,79
911,31,47,74,78,82
912,29,37,56,76,79
913,21,40,56,77,79
914,27,32,56,76,79
915,31,47,74,78,82
916,10,32,56,76,81
917,28,34,58,76,80
918,0,45,56,76,79
919,27,34,56,76,81
920,27,37,56,76,79
921,27,37,56,76,79
922,23,37,56,76,79
923,14,34,56,76,81
924,24,34,56,76,79
925,15,42,56,76,79
926,8,37,56,76,79
927,24,45,56,76,81
928,27,37,56,76,79
929,15,32,56,76,80
930,27,40,56,76,79
931,31,47,74,78,82
932,8,32,56,76,81
933,18,40,56,76,80
934,29,37,56,76,80
935,18,45,56,76,81
936,14,32,56,76,79
937,18,37,56,76,79
938,27,40,56,76,81
939,28,42,57,76,80
940,27,41,56,76,79
941,27,34,56,76,79
942,7,32,56,76,79
943,10,32,75,76,81
944,21,41,56,76,81
945,15,37,56,76,80
946,6,32,56,76,81
947,23,37,59,76,80
948,11,37,57,76,80
949,21,41,56,76,79
950,14,37,56,76,81
951,21,37,59,76,79
952,3,34,56,76,79
953,31,47,74,78,82
954,31,47,74,78,82
955,4,36,56,76,81
956,3,41,56,76,79
957,6,32,56,76,81
958,24,32,56,76,81
959,18,45,56,76,80
960,30,45,56,76,79
961,18,42,56,77,79
962,3,41,56,76,79
963,6,42,63,76,80
964,25,45,56,76,79
965,19,42,56,76,79
966,23,45,56,76,79
967,15,34,56,76,79
968,31,47,74,78,82
969,11,37,56,76,81
970,27,41,56,76,79
971,29,36,56,76,79
972,22,32,56,76,79
973,0,32,56,77,79
974,3,34,56,76,79
975,20,37,56,76,79
976,10,34,56,76,81
977,3,34,56,77,79
978,0,34,56,76,80
979,3,41,56,76,79
980,3,34,56,76,79
981,8,41,56,76,79
982,31,47,74,78,82
983,21,32,56,76,79
984,24,45,56,76,81
985,24,41,56,76,79
986,23,37,56,76,79
987,6,42,56,76,79
988,24,34,56,76,81
989,31,47,74,78,82
990,8,40,56,76,79
991,27,32,56,76,79
992,31,47,74,78,82
993,10,37,56,76,79
994,8,32,56,76,79
995,27,45,56,76,79
996,31,47,74,78,82
997,29,37,57,76,81
998,31,47,74,78,82
999,27,32,56,76,79
1000,27,32,56,76,79
1001,12,41,56,76,79
1002,15,32,56,76,79
1003,14,37,56,76,79
1004,4,34,69,76,80
1005,0,43,56,76,79
1006,12,32,56,76,79
1007,17,45,56,76,79
1008,6,32,56,76,81
1009,11,32,56,76,79
1010,10,37,56,76,81
1011,30,34,51,76,79
1012,31,47,74,78,82
1013,31,47,74,78,82
1014,11,37,56,76,80
1015,21,34,55,76,81
1016,8,45,56,76,79
1017,18,32,56,76,79
1018,17,40,56,76,79
1019,29,37,56,76,79
1020,19,32,56,76,79
1021,14,37,56,76,81
1022,19,40,56,77,79
1023,27,32,56,76,79
1024,24,36,56,76,79
1025,10,45,56,76,80
1026,18,34,56,77,79
1027,27,42,56,76,79
1028,8,45,56,76,81
1029,9,42,56,76,79
1030,23,37,56,76,79
1031,0,36,56,76,79
1032,18,42,56,76,79
1033,26,37,56,76,79
1034,27,45,56,76,79
1035,19,32,56,76,79
1036,30,37,56,76,79
1037,24,37,56,76,79
1038,21,32,56,76,79
1039,18,45,56,76,81
1040,17,37,49,76,80
1041,20,37,56,76,79
1042,27,41,56,76,79
1043,23,32,56,76,79
1044,27,41,56,76,79
1045,17,36,56,76,79
1046,20,45,56,77,79
1047,31,47,74,78,82
1048,31,47,74,78,82
1049,0,37,56,77,79
1050,27,41,56,76,79
1051,8,40,56,76,79
1052,24,32,75,76,81
1053,8,34,56,76,80
1054,21,37,56,76,79
1055,21,41,56,76,79
1056,12,37,56,76,80
1057,22,41,56,76,79
1058,12,32,56,76,79
1059,21,42,56,76,79
1060,27,41,56,76,79
1061,1,34,56,76,79
1062,4,32,56,76,79
1063,17,37,56,76,79
1064,21,41,56,76,79
1065,14,41,56,76,79
1066,18,37,56,76,79
1067,10,32,56,76,79
1068,10,37,56,76,79
1069,31,47,74,78,82
1070,21,34,56,76,79
1071,17,37,56,76,79
1072,21,36,56,76,79
1073,31,47,74,78,82
1074,29,36,56,76,79
1075,23,32,56,76,79
1076,31,47,74,78,82
1077,25,37,56,76,79
1078,0,37,56,76,79
1079,11,45,65,76,79
1080,24,32,56,76,80
1081,24,41,56,76,80
1082,18,34,56,76,80
1083,12,42,56,76,79
1084,0,41,56,76,79
1085,18,40,56,76,81
1086,9,37,56,76,79
1087,3,34,56,76,79
1088,27,37,56,76,81
1089,20,41,56,76,79
1090,21,42,56,76,81
1091,27,34,56,76,80
1092,27,32,56,76,79
1093,3,42,56,76,79
1094,11,45,71,76,80
1095,11,37,57,76,81
1096,3,37,56,76,79
1097,8,32,56,76,79
1098,23,42,56,76,81
1099,27,32,56,76,79
1100,29,34,56,76,80
1101,31,47,74,78,82
1102,8,32,56,76,79
1103,31,47,74,78,82
1104,0,37,56,76,79
1105,0,41,56,76,79
1106,31,47,74,78,82
1107,31,47,74,78,82
1108,3,34,56,76,79
1109,21,42,56,77,79
1110,14,37,56,76,81
1111,3,34,56,76,79
1112,6,45,63,76,79
1113,10,36,56,76,79
1114,20,32,56,76,79
1115,11,37,56,76,79
1116,19,34,56,76,79
1117,21,42,56,77,79
1118,12,32,56,76,79
1119,28,32,56,76,79
1120,31,47,74,78,82
1121,0,37,56,76,79
1122,31,47,74,78,82
1123,8,32,56,76,79
1124,20,36,56,76,81
1125,31,47,74,78,82
1126,3,37,56,76,79
1127,14,45,56,76,79
1128,18,37,56,76,80
1129,1,34,56,76,79
1130,18,32,56,76,81
1131,3,45,56,76,79
1132,1,45,56,76,79
1133,21,37,56,77,79
1134,9,40,56,76,79
1135,31,47,74,78,82
1136,31,47,74,78,82
1137,10,34,56,76,79
1138,0,41,56,76,79
1139,27,41,56,76,79
1140,27,42,56,76,79
1141,17,42,56,76,79
1142,12,34,57,76,80
1143,12,34,56,76,79
1144,18,42,56,76,80
1145,8,34,56,76,80
1146,30,36,56,76,81
1147,11,37,56,76,81
1148,14,32,63,76,79
1149,3,32,56,76,79
1150,8,37,63,76,79
